Type	TSS_polyA	intergenic	prot_cod_pot	lncRNA_pot	high_conf_PC	high_conf_PC_intergenic	high_conf_lncRNA	high_conf_lncRNA_intergenic	high_conf_lncRNA_lncRNAregions
Unknown transcripts	5359	968	9375	3222	4589	8	770	72	223
DE unknown transcripts	281	51	474	138	247	1	34	4	12
DE unknown transcripts with single exon	2	27	12	24	0	0	2	2	0
Unknown transcripts (%)	42.54	7.68	74.42	25.58	36.43	0.06	6.11	0.57	1.77
DE unknown transcripts (%)	45.92	8.33	77.45	22.55	40.36	0.16	5.56	0.65	1.96
DE unknown transcripts with single exon (%)	5.56	75	33.33	66.67	0	0	5.56	5.56	0
